TPSA,WLOGP
97.81,-2.23
101.88,-2.19
105.84,-2.14
109.65,-2.06
113.32,-1.97
116.82,-1.87
120.13,-1.74
123.26,-1.61
126.17,-1.45
128.87,-1.28
131.35,-1.10
133.58,-0.90
135.57,-0.70
137.30,-0.47
138.77,-0.24
139.97,0.00
140.90,0.25
141.56,0.51
141.93,0.77
142.03,1.05
141.85,1.32
141.38,1.60
140.64,1.89
139.63,2.17
138.34,2.46
136.79,2.74
134.98,3.03
132.92,3.31
130.61,3.58
128.06,3.85
125.30,4.12
122.31,4.38
119.13,4.62
115.76,4.87
112.20,5.10
108.49,5.31
104.63,5.52
100.64,5.72
96.52,5.90
92.31,6.06
88.02,6.22
83.66,6.35
79.24,6.47
74.80,6.58
70.34,6.66
65.88,6.73
61.45,6.79
57.05,6.82
52.70,6.84
48.43,6.84
44.25,6.82
40.17,6.78
36.22,6.72
32.40,6.65
28.74,6.56
25.24,6.46
21.92,6.33
18.80,6.20
15.88,6.04
13.18,5.87
10.71,5.69
8.48,5.49
6.49,5.28
4.76,5.06
3.29,4.83
2.08,4.59
1.15,4.34
0.50,4.08
0.12,3.81
0.02,3.54
0.21,3.27
0.67,2.99
1.41,2.70
2.43,2.42
3.71,2.13
5.26,1.85
7.08,1.56
9.14,1.28
11.45,1.01
13.99,0.74
16.76,0.47
19.74,0.21
22.92,-0.04
26.30,-0.28
29.85,-0.51
33.56,-0.73
37.43,-0.93
41.42,-1.13
45.53,-1.31
49.74,-1.47
54.04,-1.63
58.40,-1.76
62.81,-1.88
67.26,-1.99
71.72,-2.07
76.17,-2.14
80.61,-2.20
85.01,-2.23
89.35,-2.25
93.62,-2.25
97.81,-2.23
